chrs,cum.start,cum.end,dat1.inside,dat1.outside,dat1.chr,dat1.relCo,dat2.inside,dat2.outside,dat2.chr,dat2.relCo,diff.relCo,pval,fdr,xsq.result
Chr1,1,1000000,123,14760,3610,0.008264462809917356,17,2027,487,0.008317025440313111,5.256263039575548e-5,1,1,ns
Chr1,100001,1100000,130,14753,3610,0.008734798091782571,17,2027,487,0.008317025440313111,-4.1777265146946026e-4,1,1,ns
Chr1,200001,1200000,135,14748,3610,0.009070751864543439,15,2029,487,0.007338551859099804,-0.0017322000054436348,0.5286409388016237,0.8936116542508173,ns
Chr1,300001,1300000,132,14751,3610,0.008869179600886918,16,2028,487,0.007827788649706457,-0.0010413909511804605,0.7053081947815413,1,ns
Chr1,400001,1400000,130,14753,3610,0.008734798091782571,16,2028,487,0.007827788649706457,-9.070094420761139e-4,0.7985255274689835,1,ns
Chr1,500001,1500000,126,14757,3610,0.008466035073573876,17,2027,487,0.008317025440313111,-1.490096332607653e-4,0.9999999999999999,1,ns
Chr1,600001,1600000,127,14756,3610,0.00853322582812605,14,2030,487,0.00684931506849315,-0.0016839107596329003,0.5164399582794846,0.8936116542508173,ns
Chr1,700001,1700000,107,14776,3610,0.0071894107370825775,12,2032,487,0.005870841487279843,-0.0013185692498027344,0.574342346980639,0.9312574170903326,ns
Chr1,800001,1800000,97,14786,3610,0.006517503191560841,10,2034,487,0.004892367906066536,-0.001625135285494305,0.4579728737005863,0.8694742529096706,ns
Chr1,900001,1900000,110,14773,3610,0.007390983000739098,10,2034,487,0.004892367906066536,-0.0024986150946725624,0.25950556146811565,0.6881857746780209,ns
Chr1,1000001,2000000,109,14774,3610,0.007323792246186925,10,2034,487,0.004892367906066536,-0.002431424340120389,0.25883286539867384,0.6881857746780209,ns
Chr1,1100001,2100000,105,14778,3610,0.00705502922797823,11,2033,487,0.0053816046966731895,-0.0016734245313050405,0.4747558811702327,0.8775992305503039,ns
Chr1,1200001,2200000,94,14789,3610,0.00631593092790432,8,2036,487,0.003913894324853229,-0.0024020366030510915,0.22311353991484234,0.6501909871884924,ns
Chr1,1300001,2300000,98,14785,3610,0.006584693946113015,8,2036,487,0.003913894324853229,-0.0026707996212597864,0.17817044379461675,0.600556210956742,ns
Chr1,1400001,2400000,106,14777,3610,0.007122219982530404,9,2035,487,0.004403131115459882,-0.002719088867070522,0.1953046313428742,0.6253609719750055,ns
Chr1,1500001,2500000,99,14784,3610,0.0066518847006651885,10,2034,487,0.004892367906066536,-0.0017595167945986525,0.45956692167296764,0.8702718430531198,ns
Chr1,1600001,2600000,86,14797,3610,0.005778404891486931,7,2037,487,0.003424657534246575,-0.002353747357240356,0.20335897220761806,0.630652059693272,ns
Chr1,1700001,2700000,94,14789,3610,0.00631593092790432,8,2036,487,0.003913894324853229,-0.0024020366030510915,0.22311353991484234,0.6501909871884924,ns
Chr1,1800001,2800000,97,14786,3610,0.006517503191560841,8,2036,487,0.003913894324853229,-0.0026036088667076122,0.17805390417109562,0.600556210956742,ns
Chr1,1900001,2900000,96,14787,3610,0.006450312437008668,7,2037,487,0.003424657534246575,-0.0030256549027620925,0.1270134969151622,0.5297588257410879,ns
Chr1,2000001,3000000,95,14788,3610,0.006383121682456494,6,2038,487,0.0029354207436399216,-0.003447700938816573,0.06445452840012465,0.38094649520791163,ns
Chr1,2100001,3100000,97,14786,3610,0.006517503191560841,6,2038,487,0.0029354207436399216,-0.0035820824479209194,0.04859376850910555,0.3284440353589801,ns
Chr1,2200001,3200000,92,14791,3610,0.006181549418799973,7,2037,487,0.003424657534246575,-0.0027568918845533976,0.16166467453595992,0.5806648071283236,ns
Chr1,2300001,3300000,83,14800,3610,0.00557683262783041,6,2038,487,0.0029354207436399216,-0.002641411884190489,0.1417700637435975,0.5488088733937302,ns
Chr1,2400001,3400000,80,14803,3610,0.00537526036417389,6,2038,487,0.0029354207436399216,-0.002439839620533968,0.18297268769116026,0.6047347018824393,ns
Chr1,2500001,3500000,74,14809,3610,0.004972115836860848,6,2038,487,0.0029354207436399216,-0.0020366950932209265,0.29913784259644954,0.731328837195966,ns
Chr1,2600001,3600000,79,14804,3610,0.005308069609621716,6,2038,487,0.0029354207436399216,-0.0023726488659817947,0.18235428159900033,0.6047347018824393,ns
Chr1,2700001,3700000,70,14813,3610,0.004703352818652153,5,2039,487,0.002446183953033268,-0.002257168865618885,0.2105485433107684,0.632986935127759,ns
Chr1,2800001,3800000,75,14808,3610,0.005039306591413021,6,2038,487,0.0029354207436399216,-0.0021038858477730998,0.23299554400052033,0.6556202505757781,ns
Chr1,2900001,3900000,74,14809,3610,0.004972115836860848,8,2036,487,0.003913894324853229,-0.0010582215120076193,0.6126820652436319,0.9500581155435555,ns
Chr1,3000001,4000000,77,14806,3610,0.005173688100517369,8,2036,487,0.003913894324853229,-0.00125979377566414,0.6151679594759983,0.9500581155435555,ns
Chr1,3100001,4100000,86,14797,3610,0.005778404891486931,9,2035,487,0.004403131115459882,-0.0013752737760270488,0.5285176433402592,0.8936116542508173,ns
Chr1,3200001,4200000,102,14781,3610,0.006853456964321709,9,2035,487,0.004403131115459882,-0.002450325848861827,0.24180057348469283,0.669523436665599,ns
Chr1,3300001,4300000,130,14753,3610,0.008734798091782571,10,2034,487,0.004892367906066536,-0.0038424301857160354,0.08868851705010747,0.46756586188816657,ns
Chr1,3400001,4400000,134,14749,3610,0.009003561109991265,9,2035,487,0.004403131115459882,-0.004600429994531382,0.03779750151699298,0.2930418058788044,ns
Chr1,3500001,4500000,135,14748,3610,0.009070751864543439,8,2036,487,0.003913894324853229,-0.00515685753969021,0.013823933334547006,0.1754332332878485,ns
Chr1,3600001,4600000,134,14749,3610,0.009003561109991265,10,2034,487,0.004892367906066536,-0.004111193203924729,0.0704930160247152,0.4004732548300631,ns
Chr1,3700001,4700000,139,14744,3610,0.009339514882752134,12,2032,487,0.005870841487279843,-0.0034686733954722906,0.13199216743563236,0.5419491485363347,ns
Chr1,3800001,4800000,138,14745,3610,0.00927232412819996,12,2032,487,0.005870841487279843,-0.0034014826409201164,0.13194928349549603,0.5419491485363347,ns
Chr1,3900001,4900000,138,14745,3610,0.00927232412819996,13,2031,487,0.006360078277886497,-0.002912245850313463,0.21074357543465355,0.632986935127759,ns
Chr1,4000001,5000000,144,14739,3610,0.009675468655513001,13,2031,487,0.006360078277886497,-0.0033153903776265044,0.17459412950155506,0.5977014615144145,ns
Chr1,4100001,5100000,134,14749,3610,0.009003561109991265,12,2032,487,0.005870841487279843,-0.0031327196227114214,0.2002515760956796,0.6253609719750055,ns
