lib	chr	start	end	gt
results/06_tiger/lib10_MappedOn_tair10	1	13113928	16909636	LL
results/06_tiger/lib10_MappedOn_tair10	1	16910438	23265460	CL
results/06_tiger/lib10_MappedOn_tair10	1	23265586	30427671	LL
results/06_tiger/lib17_MappedOn_tair10	1	8311771	16577873	CC
results/06_tiger/lib17_MappedOn_tair10	1	16581496	22990711	CL
results/06_tiger/lib17_MappedOn_tair10	1	22990798	30427671	CC
results/06_tiger/lib17_MappedOn_tair10	5	1	17098952	CC
results/06_tiger/lib17_MappedOn_tair10	5	17099846	21655322	CL
results/06_tiger/lib17_MappedOn_tair10	5	21655494	26809016	CC
results/06_tiger/lib18_MappedOn_tair10	2	1	9614678	CC
results/06_tiger/lib18_MappedOn_tair10	2	9616693	16582545	CL
results/06_tiger/lib18_MappedOn_tair10	2	16582796	19698289	CC
results/06_tiger/lib21_MappedOn_tair10	5	1	8706711	LL
results/06_tiger/lib21_MappedOn_tair10	5	8708437	26328573	CL
results/06_tiger/lib21_MappedOn_tair10	5	26328722	26975502	LL
results/06_tiger/lib24_MappedOn_tair10	5	1	3784284	CC
results/06_tiger/lib24_MappedOn_tair10	5	3784704	26236016	CL
results/06_tiger/lib24_MappedOn_tair10	5	26236558	26975502	CC
results/06_tiger/lib25_MappedOn_tair10	1	1	3443575	CC
results/06_tiger/lib25_MappedOn_tair10	1	3445192	17915333	CL
results/06_tiger/lib25_MappedOn_tair10	1	17916654	30427671	CC
results/06_tiger/lib25_MappedOn_tair10	4	1	5835200	CC
results/06_tiger/lib25_MappedOn_tair10	4	5835480	16294941	CL
results/06_tiger/lib25_MappedOn_tair10	4	16295149	18585056	CC
results/06_tiger/lib26_MappedOn_tair10	3	7934953	10075214	LL
results/06_tiger/lib26_MappedOn_tair10	3	10075343	19412245	CL
results/06_tiger/lib26_MappedOn_tair10	3	19413370	22160501	LL
results/06_tiger/lib29_MappedOn_tair10	5	1	993402	LL
results/06_tiger/lib29_MappedOn_tair10	5	993971	24414356	CL
results/06_tiger/lib29_MappedOn_tair10	5	24414514	26975502	LL
results/06_tiger/lib3_MappedOn_tair10	1	1	12941405	CC
results/06_tiger/lib3_MappedOn_tair10	1	12942069	25770070	CL
results/06_tiger/lib3_MappedOn_tair10	1	25770401	30427671	CC
results/06_tiger/lib30_MappedOn_tair10	2	1	429326	LL
results/06_tiger/lib30_MappedOn_tair10	2	431023	6959560	CL
results/06_tiger/lib30_MappedOn_tair10	2	6959586	7701485	LL
results/06_tiger/lib31_MappedOn_tair10	1	1	549671	LL
results/06_tiger/lib31_MappedOn_tair10	1	560551	16268409	CL
results/06_tiger/lib31_MappedOn_tair10	1	16268499	17226690	LL
results/06_tiger/lib35_MappedOn_tair10	1	7040667	12260047	CC
results/06_tiger/lib35_MappedOn_tair10	1	12260270	24766721	CL
results/06_tiger/lib35_MappedOn_tair10	1	24767033	30427671	CC
results/06_tiger/lib38_MappedOn_tair10	1	1	4859205	LL
results/06_tiger/lib38_MappedOn_tair10	1	4863468	7742066	CL
results/06_tiger/lib38_MappedOn_tair10	1	7742360	19572450	LL
results/06_tiger/lib41_MappedOn_tair10	5	1	1001486	CC
results/06_tiger/lib41_MappedOn_tair10	5	1002253	14727142	CL
results/06_tiger/lib41_MappedOn_tair10	5	14727549	26743381	CC
results/06_tiger/lib45_MappedOn_tair10	5	1	1931055	LL
results/06_tiger/lib45_MappedOn_tair10	5	1932094	16385625	CL
results/06_tiger/lib45_MappedOn_tair10	5	16387206	17532742	LL
results/06_tiger/lib49_MappedOn_tair10	5	1	10529904	LL
results/06_tiger/lib49_MappedOn_tair10	5	10530096	13879132	CL
results/06_tiger/lib49_MappedOn_tair10	5	13879228	26044736	LL
results/06_tiger/lib5_MappedOn_tair10	5	1	2191851	CC
results/06_tiger/lib5_MappedOn_tair10	5	2193243	26366757	CL
results/06_tiger/lib5_MappedOn_tair10	5	26367407	26975502	CC
results/06_tiger/lib54_MappedOn_tair10	1	1	10146795	CC
results/06_tiger/lib54_MappedOn_tair10	1	10146947	26683938	CL
results/06_tiger/lib54_MappedOn_tair10	1	26684487	30205318	CC
results/06_tiger/lib55_MappedOn_tair10	1	1	7783199	CC
results/06_tiger/lib55_MappedOn_tair10	1	7783521	22939827	CL
results/06_tiger/lib55_MappedOn_tair10	1	22940028	30427671	CC
results/06_tiger/lib55_MappedOn_tair10	2	1	1497977	CC
results/06_tiger/lib55_MappedOn_tair10	2	1498044	12279753	CL
results/06_tiger/lib55_MappedOn_tair10	2	12280280	19698289	CC
results/06_tiger/lib57_MappedOn_tair10	1	1	7723248	LL
results/06_tiger/lib57_MappedOn_tair10	1	7723697	24459840	CL
results/06_tiger/lib57_MappedOn_tair10	1	24461010	30427671	LL
results/06_tiger/lib63_MappedOn_tair10	1	1	678747	CC
results/06_tiger/lib63_MappedOn_tair10	1	678934	18030871	CL
results/06_tiger/lib63_MappedOn_tair10	1	18031216	30427671	CC
results/06_tiger/lib66_MappedOn_tair10	2	1	374126	LL
results/06_tiger/lib66_MappedOn_tair10	2	375007	15870448	CL
results/06_tiger/lib66_MappedOn_tair10	2	15870859	16926404	LL
results/06_tiger/lib66_MappedOn_tair10	5	1	8846751	LL
results/06_tiger/lib66_MappedOn_tair10	5	8848670	20564207	CL
results/06_tiger/lib66_MappedOn_tair10	5	20630806	26975502	LL
results/06_tiger/lib67_MappedOn_tair10	1	1	12516119	LL
results/06_tiger/lib67_MappedOn_tair10	1	12516122	28599734	CL
results/06_tiger/lib67_MappedOn_tair10	1	28600721	30427671	LL
results/06_tiger/lib69_MappedOn_tair10	1	1	3890857	CC
results/06_tiger/lib69_MappedOn_tair10	1	3891139	16921749	CL
results/06_tiger/lib69_MappedOn_tair10	1	16922407	30427671	CC
results/06_tiger/lib7_MappedOn_tair10	1	1	4594647	CC
results/06_tiger/lib7_MappedOn_tair10	1	4595087	16886744	CL
results/06_tiger/lib7_MappedOn_tair10	1	16887374	29219791	CC
results/06_tiger/lib7_MappedOn_tair10	2	1	1926865	LL
results/06_tiger/lib7_MappedOn_tair10	2	1927123	12365761	CL
results/06_tiger/lib7_MappedOn_tair10	2	12365916	19698289	LL
results/06_tiger/lib7_MappedOn_tair10	5	1	2120533	LL
results/06_tiger/lib7_MappedOn_tair10	5	2120755	15379893	CL
