lib	chr	start	end	gt
results/06_tiger/lib1_MappedOn_tair10	1	16141870	25275728	CC
results/06_tiger/lib1_MappedOn_tair10	1	25276330	28287225	CL
results/06_tiger/lib1_MappedOn_tair10	1	28288187	30427671	CC
results/06_tiger/lib11_MappedOn_tair10	5	1	5615435	LL
results/06_tiger/lib11_MappedOn_tair10	5	5616674	23248305	CL
results/06_tiger/lib11_MappedOn_tair10	5	23255309	26975502	LL
results/06_tiger/lib15_MappedOn_tair10	1	1	8977128	CC
results/06_tiger/lib15_MappedOn_tair10	1	8985127	11940949	CL
results/06_tiger/lib15_MappedOn_tair10	1	11941693	16473701	CC
results/06_tiger/lib17_MappedOn_tair10	4	1	1048193	LL
results/06_tiger/lib17_MappedOn_tair10	4	1048373	11358767	CL
results/06_tiger/lib17_MappedOn_tair10	4	11359789	18585056	LL
results/06_tiger/lib18_MappedOn_tair10	1	1622203	16641540	LL
results/06_tiger/lib18_MappedOn_tair10	1	16641851	17720622	CL
results/06_tiger/lib18_MappedOn_tair10	1	17722548	30427671	LL
results/06_tiger/lib2_MappedOn_tair10	5	1	1601661	LL
results/06_tiger/lib2_MappedOn_tair10	5	1601941	15620746	CL
results/06_tiger/lib2_MappedOn_tair10	5	15620808	26975502	LL
results/06_tiger/lib20_MappedOn_tair10	1	1	464929	LL
results/06_tiger/lib20_MappedOn_tair10	1	465818	10200716	CL
results/06_tiger/lib20_MappedOn_tair10	1	10201199	11119152	LL
results/06_tiger/lib20_MappedOn_tair10	4	8147640	10065971	LL
results/06_tiger/lib20_MappedOn_tair10	4	10069044	17792381	CL
results/06_tiger/lib20_MappedOn_tair10	4	17793566	18585056	LL
results/06_tiger/lib24_MappedOn_tair10	2	9358462	12605380	LL
results/06_tiger/lib24_MappedOn_tair10	2	12605642	17248764	CL
results/06_tiger/lib24_MappedOn_tair10	2	17250013	19698289	LL
results/06_tiger/lib25_MappedOn_tair10	1	1	8977128	LL
results/06_tiger/lib25_MappedOn_tair10	1	8985127	9996302	CL
