Chr1	1	5000000
Chr1	5000001	10000000
Chr1	10000001	15000000
Chr1	15000001	20000000
Chr1	20000001	25000000
Chr1	25000001	30000000
Chr1	30000001	30427671
Chr2	1	5000000
Chr2	5000001	10000000
Chr2	10000001	15000000
Chr2	15000001	19698289
Chr3	1	5000000
Chr3	5000001	10000000
Chr3	10000001	15000000
Chr3	15000001	20000000
Chr3	20000001	23459830
Chr4	1	5000000
Chr4	5000001	10000000
Chr4	10000001	15000000
Chr4	15000001	18585056
Chr5	1	5000000
Chr5	5000001	10000000
Chr5	10000001	15000000
Chr5	15000001	20000000
Chr5	20000001	25000000
Chr5	25000001	26975502
